id_estoque;id_loja;id_produto;quantidade
1;1;1;324
2;1;2;22
3;1;3;83
4;1;4;421
5;1;5;227
6;1;6;100
7;1;7;309
8;1;8;322
9;1;9;59
10;1;10;445
11;1;11;346
12;1;12;498
13;1;13;176
14;1;14;343
15;1;15;191
16;1;16;363
17;1;17;487
18;1;18;326
19;1;19;146
20;1;20;437
21;1;21;354
22;1;22;180
23;1;23;334
24;1;24;80
25;1;25;372
26;1;26;334
27;1;27;399
28;1;28;27
29;1;29;23
30;1;30;369
31;1;31;436
32;1;32;286
33;1;33;57
34;1;34;423
35;1;35;133
36;1;36;435
37;1;37;327
38;1;38;448
39;1;39;474
40;1;40;99
41;1;41;86
42;1;42;405
43;1;43;410
44;1;44;367
45;1;45;130
46;1;46;227
47;1;47;464
48;1;48;441
49;1;49;263
50;1;50;233
51;1;51;339
52;1;52;304
53;1;53;102
54;1;54;266
55;1;55;285
56;1;56;48
57;1;57;496
58;1;58;64
59;1;59;308
60;1;60;97
61;1;61;34
62;1;62;380
63;1;63;237
64;1;64;24
65;1;65;242
66;1;66;376
67;1;67;315
68;1;68;266
69;1;69;195
70;1;70;104
71;1;71;233
72;1;72;459
73;1;73;459
74;1;74;274
75;1;75;38
76;1;76;294
77;1;77;97
78;1;78;419
79;1;79;57
80;1;80;179
81;2;1;183
82;2;2;353
83;2;3;106
84;2;4;194
85;2;5;238
86;2;6;333
87;2;7;274
88;2;8;225
89;2;9;86
90;2;10;252
91;2;11;382
92;2;12;106
93;2;13;146
94;2;14;408
95;2;15;148
96;2;16;92
97;2;17;413
98;2;18;78
99;2;19;123
100;2;20;218
101;2;21;302
102;2;22;304
103;2;23;495
104;2;24;202
105;2;25;246
106;2;26;500
107;2;27;456
108;2;28;153
109;2;29;236
110;2;30;439
111;2;31;394
112;2;32;21
113;2;33;186
114;2;34;170
115;2;35;159
116;2;36;177
117;2;37;329
118;2;38;278
119;2;39;140
120;2;40;91
121;2;41;330
122;2;42;172
123;2;43;388
124;2;44;158
125;2;45;435
126;2;46;288
127;2;47;445
128;2;48;141
129;2;49;71
130;2;50;261
131;2;51;449
132;2;52;251
133;2;53;48
134;2;54;198
135;2;55;145
